ANO;MES;CODIGO DEPARTAMENTO;DEPARTAMENTO;CODIGO MUNICIPIO;MUNICIPIO;GRUPO POBLACIONAL;BIOLOGICO;META;DOSIS APLICADAS;COBERTURA;DOSIS APLICADAS ACUMULADAS;COBERTURA ACUMULADA
2022;ENERO;76;VALLE DEL CAUCA;76020;ALCALÁ;RECIEN NACIDO;BCG;153;0;0.0;0;0.0
2022;ENERO;76;VALLE DEL CAUCA;76020;ALCALÁ;RECIEN NACIDO;HEPATITIS B;153;0;0.0;0;0.0
2022;ENERO;76;VALLE DEL CAUCA;76020;ALCALÁ;DOS MESES;POLIO 1ra;153;12;7.8431372549019605;12;7.8431372549019605
2022;ENERO;76;VALLE DEL CAUCA;76020;ALCALÁ;CUATRO MESES;POLIO 2da;153;14;9.15032679738562;14;9.15032679738562
2022;ENERO;76;VALLE DEL CAUCA;76020;ALCALÁ;SEIS MESES;POLIO 3ra;153;17;11.11111111111111;17;11.11111111111111
2022;ENERO;76;VALLE DEL CAUCA;76020;ALCALÁ;DOS MESES;PENTA 1ra;153;12;7.8431372549019605;12;7.8431372549019605
2022;ENERO;76;VALLE DEL CAUCA;76020;ALCALÁ;CUATRO MESES;PENTA 2da;153;14;9.15032679738562;14;9.15032679738562
2022;ENERO;76;VALLE DEL CAUCA;76020;ALCALÁ;SEIS MESES;PENTA 3ra;153;17;11.11111111111111;17;11.11111111111111
2022;ENERO;76;VALLE DEL CAUCA;76020;ALCALÁ;DOS MESES;ROTAVIRUS 1ra;153;12;7.8431372549019605;12;7.8431372549019605
2022;ENERO;76;VALLE DEL CAUCA;76020;ALCALÁ;CUATRO MESES;ROTAVIRUS 2da;153;14;9.15032679738562;14;9.15032679738562
2022;ENERO;76;VALLE DEL CAUCA;76020;ALCALÁ;DOS MESES;NEUMOCOCO 1ra;153;12;7.8431372549019605;12;7.8431372549019605
2022;ENERO;76;VALLE DEL CAUCA;76020;ALCALÁ;CUATRO MESES;NEUMOCOCO 2da;153;14;9.15032679738562;14;9.15032679738562
2022;ENERO;76;VALLE DEL CAUCA;76020;ALCALÁ;UN AÑO;TRIPLE VIRAL;169;8;4.733727810650888;8;4.733727810650888
2022;ENERO;76;VALLE DEL CAUCA;76020;ALCALÁ;UN AÑO;HEPATITIS A;169;8;4.733727810650888;8;4.733727810650888
2022;ENERO;76;VALLE DEL CAUCA;76020;ALCALÁ;UN AÑO;VARICELA;169;8;4.733727810650888;8;4.733727810650888
2022;ENERO;76;VALLE DEL CAUCA;76020;ALCALÁ;UN AÑO;NEUMOCOCO ref;169;8;4.733727810650888;8;4.733727810650888
2022;ENERO;76;VALLE DEL CAUCA;76020;ALCALÁ;DIECIOCHO MESES;FIEBRE AMARILLA;169;29;17.159763313609467;29;17.159763313609467
2022;ENERO;76;VALLE DEL CAUCA;76020;ALCALÁ;DIECIOCHO MESES;POLIO 1ra ref;169;29;17.159763313609467;29;17.159763313609467
2022;ENERO;76;VALLE DEL CAUCA;76020;ALCALÁ;DIECIOCHO MESES;PENTA 1era ref;169;29;17.159763313609467;29;17.159763313609467
2022;ENERO;76;VALLE DEL CAUCA;76020;ALCALÁ;CINCO AÑOS;POLIO 2da ref;179;15;8.379888268156424;15;8.379888268156424
2022;ENERO;76;VALLE DEL CAUCA;76020;ALCALÁ;CINCO AÑOS;DPT 2da ref;179;15;8.379888268156424;15;8.379888268156424
2022;ENERO;76;VALLE DEL CAUCA;76020;ALCALÁ;CINCO AÑOS;TRIPLE VIRAL ref 5 anos;179;15;8.379888268156424;15;8.379888268156424
2022;ENERO;76;VALLE DEL CAUCA;76020;ALCALÁ;CINCO AÑOS;VARICELA ref.;179;15;8.379888268156424;15;8.379888268156424
2022;ENERO;76;VALLE DEL CAUCA;76020;ALCALÁ;GESTANTES;TdaP ACELULAR GESTANTES;153;10;6.535947712418301;10;6.5359477124183005
2022;ENERO;76;VALLE DEL CAUCA;76020;ALCALÁ;VPH;VPH 1ra;115;0;0.0;0;0.0
2022;ENERO;76;VALLE DEL CAUCA;76020;ALCALÁ;VPH;VPH 2da;115;3;2.608695652173913;3;2.608695652173913
2022;ENERO;76;VALLE DEL CAUCA;76036;ANDALUCÍA;RECIEN NACIDO;BCG;154;1;0.6493506493506493;1;0.6493506493506493
2022;ENERO;76;VALLE DEL CAUCA;76036;ANDALUCÍA;RECIEN NACIDO;HEPATITIS B;154;1;0.6493506493506493;1;0.6493506493506493
2022;ENERO;76;VALLE DEL CAUCA;76036;ANDALUCÍA;DOS MESES;POLIO 1ra;154;7;4.545454545454546;7;4.545454545454546
2022;ENERO;76;VALLE DEL CAUCA;76036;ANDALUCÍA;CUATRO MESES;POLIO 2da;154;9;5.844155844155844;9;5.8441558441558445
2022;ENERO;76;VALLE DEL CAUCA;76036;ANDALUCÍA;SEIS MESES;POLIO 3ra;154;8;5.194805194805195;8;5.194805194805195
2022;ENERO;76;VALLE DEL CAUCA;76036;ANDALUCÍA;DOS MESES;PENTA 1ra;154;7;4.545454545454546;7;4.545454545454546
2022;ENERO;76;VALLE DEL CAUCA;76036;ANDALUCÍA;CUATRO MESES;PENTA 2da;154;9;5.844155844155844;9;5.8441558441558445
2022;ENERO;76;VALLE DEL CAUCA;76036;ANDALUCÍA;SEIS MESES;PENTA 3ra;154;8;5.194805194805195;8;5.194805194805195
2022;ENERO;76;VALLE DEL CAUCA;76036;ANDALUCÍA;DOS MESES;ROTAVIRUS 1ra;154;7;4.545454545454546;7;4.545454545454546
2022;ENERO;76;VALLE DEL CAUCA;76036;ANDALUCÍA;CUATRO MESES;ROTAVIRUS 2da;154;9;5.844155844155844;9;5.8441558441558445
2022;ENERO;76;VALLE DEL CAUCA;76036;ANDALUCÍA;DOS MESES;NEUMOCOCO 1ra;154;7;4.545454545454546;7;4.545454545454546
2022;ENERO;76;VALLE DEL CAUCA;76036;ANDALUCÍA;CUATRO MESES;NEUMOCOCO 2da;154;9;5.844155844155844;9;5.8441558441558445
2022;ENERO;76;VALLE DEL CAUCA;76036;ANDALUCÍA;UN AÑO;TRIPLE VIRAL;164;12;7.317073170731707;12;7.317073170731708
2022;ENERO;76;VALLE DEL CAUCA;76036;ANDALUCÍA;UN AÑO;HEPATITIS A;164;12;7.317073170731707;12;7.317073170731708
2022;ENERO;76;VALLE DEL CAUCA;76036;ANDALUCÍA;UN AÑO;VARICELA;164;12;7.317073170731707;12;7.317073170731708
2022;ENERO;76;VALLE DEL CAUCA;76036;ANDALUCÍA;UN AÑO;NEUMOCOCO ref;164;12;7.317073170731707;12;7.317073170731708
2022;ENERO;76;VALLE DEL CAUCA;76036;ANDALUCÍA;DIECIOCHO MESES;FIEBRE AMARILLA;164;12;7.317073170731707;12;7.317073170731708
2022;ENERO;76;VALLE DEL CAUCA;76036;ANDALUCÍA;DIECIOCHO MESES;POLIO 1ra ref;164;12;7.317073170731707;12;7.317073170731708
2022;ENERO;76;VALLE DEL CAUCA;76036;ANDALUCÍA;DIECIOCHO MESES;PENTA 1era ref;164;12;7.317073170731707;12;7.317073170731708
2022;ENERO;76;VALLE DEL CAUCA;76036;ANDALUCÍA;CINCO AÑOS;POLIO 2da ref;200;10;5.0;10;5.0
2022;ENERO;76;VALLE DEL CAUCA;76036;ANDALUCÍA;CINCO AÑOS;DPT 2da ref;200;10;5.0;10;5.0
2022;ENERO;76;VALLE DEL CAUCA;76036;ANDALUCÍA;CINCO AÑOS;TRIPLE VIRAL ref 5 anos;200;10;5.0;10;5.0
2022;ENERO;76;VALLE DEL CAUCA;76036;ANDALUCÍA;CINCO AÑOS;VARICELA ref.;200;10;5.0;10;5.0
2022;ENERO;76;VALLE DEL CAUCA;76036;ANDALUCÍA;GESTANTES;TdaP ACELULAR GESTANTES;154;4;2.5974025974025974;4;2.5974025974025974
2022;ENERO;76;VALLE DEL CAUCA;76036;ANDALUCÍA;VPH;VPH 1ra;170;2;1.1764705882352942;2;1.1764705882352942
2022;ENERO;76;VALLE DEL CAUCA;76036;ANDALUCÍA;VPH;VPH 2da;170;0;0.0;0;0.0
2022;ENERO;76;VALLE DEL CAUCA;76041;ANSERMANUEVO;RECIEN NACIDO;BCG;187;7;3.7433155080213902;7;3.7433155080213902
2022;ENERO;76;VALLE DEL CAUCA;76041;ANSERMANUEVO;RECIEN NACIDO;HEPATITIS B;187;7;3.7433155080213902;7;3.7433155080213902
2022;ENERO;76;VALLE DEL CAUCA;76041;ANSERMANUEVO;DOS MESES;POLIO 1ra;187;20;10.695187165775401;20;10.695187165775401
2022;ENERO;76;VALLE DEL CAUCA;76041;ANSERMANUEVO;CUATRO MESES;POLIO 2da;187;21;11.229946524064172;21;11.229946524064172
2022;ENERO;76;VALLE DEL CAUCA;76041;ANSERMANUEVO;SEIS MESES;POLIO 3ra;187;20;10.695187165775401;20;10.695187165775401
2022;ENERO;76;VALLE DEL CAUCA;76041;ANSERMANUEVO;DOS MESES;PENTA 1ra;187;20;10.695187165775401;20;10.695187165775401
2022;ENERO;76;VALLE DEL CAUCA;76041;ANSERMANUEVO;CUATRO MESES;PENTA 2da;187;21;11.229946524064172;21;11.229946524064172
2022;ENERO;76;VALLE DEL CAUCA;76041;ANSERMANUEVO;SEIS MESES;PENTA 3ra;187;20;10.695187165775401;20;10.695187165775401
2022;ENERO;76;VALLE DEL CAUCA;76041;ANSERMANUEVO;DOS MESES;ROTAVIRUS 1ra;187;20;10.695187165775401;20;10.695187165775401
2022;ENERO;76;VALLE DEL CAUCA;76041;ANSERMANUEVO;CUATRO MESES;ROTAVIRUS 2da;187;21;11.229946524064172;21;11.229946524064172
2022;ENERO;76;VALLE DEL CAUCA;76041;ANSERMANUEVO;DOS MESES;NEUMOCOCO 1ra;187;20;10.695187165775401;20;10.695187165775401
2022;ENERO;76;VALLE DEL CAUCA;76041;ANSERMANUEVO;CUATRO MESES;NEUMOCOCO 2da;187;21;11.229946524064172;21;11.229946524064172
2022;ENERO;76;VALLE DEL CAUCA;76041;ANSERMANUEVO;UN AÑO;TRIPLE VIRAL;195;23;11.794871794871794;23;11.794871794871796
2022;ENERO;76;VALLE DEL CAUCA;76041;ANSERMANUEVO;UN AÑO;HEPATITIS A;195;22;11.282051282051283;22;11.282051282051283
2022;ENERO;76;VALLE DEL CAUCA;76041;ANSERMANUEVO;UN AÑO;VARICELA;195;22;11.282051282051283;22;11.282051282051283
2022;ENERO;76;VALLE DEL CAUCA;76041;ANSERMANUEVO;UN AÑO;NEUMOCOCO ref;195;23;11.794871794871794;23;11.794871794871796
2022;ENERO;76;VALLE DEL CAUCA;76041;ANSERMANUEVO;DIECIOCHO MESES;FIEBRE AMARILLA;195;21;10.76923076923077;21;10.76923076923077
2022;ENERO;76;VALLE DEL CAUCA;76041;ANSERMANUEVO;DIECIOCHO MESES;POLIO 1ra ref;195;21;10.76923076923077;21;10.76923076923077
2022;ENERO;76;VALLE DEL CAUCA;76041;ANSERMANUEVO;DIECIOCHO MESES;PENTA 1era ref;195;21;10.76923076923077;21;10.76923076923077
2022;ENERO;76;VALLE DEL CAUCA;76041;ANSERMANUEVO;CINCO AÑOS;POLIO 2da ref;236;17;7.203389830508475;17;7.203389830508475
2022;ENERO;76;VALLE DEL CAUCA;76041;ANSERMANUEVO;CINCO AÑOS;DPT 2da ref;236;17;7.203389830508475;17;7.203389830508475
2022;ENERO;76;VALLE DEL CAUCA;76041;ANSERMANUEVO;CINCO AÑOS;TRIPLE VIRAL ref 5 anos;236;17;7.203389830508475;17;7.203389830508475
2022;ENERO;76;VALLE DEL CAUCA;76041;ANSERMANUEVO;CINCO AÑOS;VARICELA ref.;236;17;7.203389830508475;17;7.203389830508475
2022;ENERO;76;VALLE DEL CAUCA;76041;ANSERMANUEVO;GESTANTES;TdaP ACELULAR GESTANTES;187;7;3.7433155080213902;7;3.7433155080213902
2022;ENERO;76;VALLE DEL CAUCA;76041;ANSERMANUEVO;VPH;VPH 1ra;149;1;0.6711409395973155;1;0.6711409395973155
2022;ENERO;76;VALLE DEL CAUCA;76041;ANSERMANUEVO;VPH;VPH 2da;149;4;2.684563758389262;4;2.684563758389262
2022;ENERO;76;VALLE DEL CAUCA;76054;ARGELIA;RECIEN NACIDO;BCG;62;5;8.064516129032258;5;8.064516129032258
2022;ENERO;76;VALLE DEL CAUCA;76054;ARGELIA;RECIEN NACIDO;HEPATITIS B;62;5;8.064516129032258;5;8.064516129032258
2022;ENERO;76;VALLE DEL CAUCA;76054;ARGELIA;DOS MESES;POLIO 1ra;62;3;4.838709677419355;3;4.838709677419355
2022;ENERO;76;VALLE DEL CAUCA;76054;ARGELIA;CUATRO MESES;POLIO 2da;62;6;9.67741935483871;6;9.67741935483871
2022;ENERO;76;VALLE DEL CAUCA;76054;ARGELIA;SEIS MESES;POLIO 3ra;62;5;8.064516129032258;5;8.064516129032258
2022;ENERO;76;VALLE DEL CAUCA;76054;ARGELIA;DOS MESES;PENTA 1ra;62;3;4.838709677419355;3;4.838709677419355
2022;ENERO;76;VALLE DEL CAUCA;76054;ARGELIA;CUATRO MESES;PENTA 2da;62;6;9.67741935483871;6;9.67741935483871
2022;ENERO;76;VALLE DEL CAUCA;76054;ARGELIA;SEIS MESES;PENTA 3ra;62;5;8.064516129032258;5;8.064516129032258
2022;ENERO;76;VALLE DEL CAUCA;76054;ARGELIA;DOS MESES;ROTAVIRUS 1ra;62;2;3.225806451612903;2;3.225806451612903
2022;ENERO;76;VALLE DEL CAUCA;76054;ARGELIA;CUATRO MESES;ROTAVIRUS 2da;62;5;8.064516129032258;5;8.064516129032258
2022;ENERO;76;VALLE DEL CAUCA;76054;ARGELIA;DOS MESES;NEUMOCOCO 1ra;62;3;4.838709677419355;3;4.838709677419355
2022;ENERO;76;VALLE DEL CAUCA;76054;ARGELIA;CUATRO MESES;NEUMOCOCO 2da;62;6;9.67741935483871;6;9.67741935483871
2022;ENERO;76;VALLE DEL CAUCA;76054;ARGELIA;UN AÑO;TRIPLE VIRAL;66;7;10.606060606060606;7;10.606060606060606
2022;ENERO;76;VALLE DEL CAUCA;76054;ARGELIA;UN AÑO;HEPATITIS A;66;7;10.606060606060606;7;10.606060606060606
2022;ENERO;76;VALLE DEL CAUCA;76054;ARGELIA;UN AÑO;VARICELA;66;7;10.606060606060606;7;10.606060606060606
2022;ENERO;76;VALLE DEL CAUCA;76054;ARGELIA;UN AÑO;NEUMOCOCO ref;66;7;10.606060606060606;7;10.606060606060606
2022;ENERO;76;VALLE DEL CAUCA;76054;ARGELIA;DIECIOCHO MESES;FIEBRE AMARILLA;66;3;4.545454545454546;3;4.545454545454546
2022;ENERO;76;VALLE DEL CAUCA;76054;ARGELIA;DIECIOCHO MESES;POLIO 1ra ref;66;3;4.545454545454546;3;4.545454545454546
2022;ENERO;76;VALLE DEL CAUCA;76054;ARGELIA;DIECIOCHO MESES;PENTA 1era ref;66;3;4.545454545454546;3;4.545454545454546
2022;ENERO;76;VALLE DEL CAUCA;76054;ARGELIA;CINCO AÑOS;POLIO 2da ref;65;8;12.307692307692308;8;12.307692307692308
2022;ENERO;76;VALLE DEL CAUCA;76054;ARGELIA;CINCO AÑOS;DPT 2da ref;65;9;13.846153846153847;9;13.846153846153847
2022;ENERO;76;VALLE DEL CAUCA;76054;ARGELIA;CINCO AÑOS;TRIPLE VIRAL ref 5 anos;65;9;13.846153846153847;9;13.846153846153847
2022;ENERO;76;VALLE DEL CAUCA;76054;ARGELIA;CINCO AÑOS;VARICELA ref.;65;9;13.846153846153847;9;13.846153846153847
2022;ENERO;76;VALLE DEL CAUCA;76054;ARGELIA;GESTANTES;TdaP ACELULAR GESTANTES;62;6;9.67741935483871;6;9.67741935483871
2022;ENERO;76;VALLE DEL CAUCA;76054;ARGELIA;VPH;VPH 1ra;47;3;6.382978723404255;3;6.382978723404255
2022;ENERO;76;VALLE DEL CAUCA;76054;ARGELIA;VPH;VPH 2da;47;2;4.25531914893617;2;4.25531914893617
2022;ENERO;76;VALLE DEL CAUCA;76100;BOLÍVAR;RECIEN NACIDO;BCG;255;4;1.5686274509803921;4;1.5686274509803921
2022;ENERO;76;VALLE DEL CAUCA;76100;BOLÍVAR;RECIEN NACIDO;HEPATITIS B;255;3;1.1764705882352942;3;1.1764705882352942
2022;ENERO;76;VALLE DEL CAUCA;76100;BOLÍVAR;DOS MESES;POLIO 1ra;255;21;8.235294117647058;21;8.235294117647058
2022;ENERO;76;VALLE DEL CAUCA;76100;BOLÍVAR;CUATRO MESES;POLIO 2da;255;19;7.450980392156863;19;7.450980392156863
2022;ENERO;76;VALLE DEL CAUCA;76100;BOLÍVAR;SEIS MESES;POLIO 3ra;255;24;9.411764705882353;24;9.411764705882353
2022;ENERO;76;VALLE DEL CAUCA;76100;BOLÍVAR;DOS MESES;PENTA 1ra;255;21;8.235294117647058;21;8.235294117647058
2022;ENERO;76;VALLE DEL CAUCA;76100;BOLÍVAR;CUATRO MESES;PENTA 2da;255;19;7.450980392156863;19;7.450980392156863
2022;ENERO;76;VALLE DEL CAUCA;76100;BOLÍVAR;SEIS MESES;PENTA 3ra;255;24;9.411764705882353;24;9.411764705882353
2022;ENERO;76;VALLE DEL CAUCA;76100;BOLÍVAR;DOS MESES;ROTAVIRUS 1ra;255;21;8.235294117647058;21;8.235294117647058
2022;ENERO;76;VALLE DEL CAUCA;76100;BOLÍVAR;CUATRO MESES;ROTAVIRUS 2da;255;19;7.450980392156863;19;7.450980392156863
2022;ENERO;76;VALLE DEL CAUCA;76100;BOLÍVAR;DOS MESES;NEUMOCOCO 1ra;255;21;8.235294117647058;21;8.235294117647058
2022;ENERO;76;VALLE DEL CAUCA;76100;BOLÍVAR;CUATRO MESES;NEUMOCOCO 2da;255;19;7.450980392156863;19;7.450980392156863
2022;ENERO;76;VALLE DEL CAUCA;76100;BOLÍVAR;UN AÑO;TRIPLE VIRAL;255;24;9.411764705882353;24;9.411764705882353
2022;ENERO;76;VALLE DEL CAUCA;76100;BOLÍVAR;UN AÑO;HEPATITIS A;255;24;9.411764705882353;24;9.411764705882353
2022;ENERO;76;VALLE DEL CAUCA;76100;BOLÍVAR;UN AÑO;VARICELA;255;24;9.411764705882353;24;9.411764705882353
2022;ENERO;76;VALLE DEL CAUCA;76100;BOLÍVAR;UN AÑO;NEUMOCOCO ref;255;24;9.411764705882353;24;9.411764705882353
2022;ENERO;76;VALLE DEL CAUCA;76100;BOLÍVAR;DIECIOCHO MESES;FIEBRE AMARILLA;255;25;9.803921568627452;25;9.803921568627452
2022;ENERO;76;VALLE DEL CAUCA;76100;BOLÍVAR;DIECIOCHO MESES;POLIO 1ra ref;255;25;9.803921568627452;25;9.803921568627452
2022;ENERO;76;VALLE DEL CAUCA;76100;BOLÍVAR;DIECIOCHO MESES;PENTA 1era ref;255;25;9.803921568627452;25;9.803921568627452
2022;ENERO;76;VALLE DEL CAUCA;76100;BOLÍVAR;CINCO AÑOS;POLIO 2da ref;262;20;7.633587786259542;20;7.633587786259542
2022;ENERO;76;VALLE DEL CAUCA;76100;BOLÍVAR;CINCO AÑOS;DPT 2da ref;262;20;7.633587786259542;20;7.633587786259542
